exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,success_rate,violation_rate,mean_ep_len,fail_rate,mean_energy,total_timesteps,actuator_dr_range,goal_x_min,goal_x_max,goal_tolerance,fault_goal_x_min,fault_goal_x_max,fault_goal_tolerance,friction_range,safety_max_pitch,safety_max_vspeed,safety_terminate,fault_strength,fault_indices,fault_start_step
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.3_t50,100,88.2372640526699,79.54531363893585,0.14,0.0,120.86,0.86,81.84538127353764,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.3_t150,100,236.60244281826465,26.058877820950126,1.0,0.0,149.72,0.0,99.43130310312932,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",150
MSR_fast_noRes,1,target,eval,,100,603.7001222894163,73.02678595574356,,0.0,374.12,,202.7234478892949,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,,,
MSR_fast_noRes,1,target,eval_fault,a0_s0.7_t0,100,604.8530987990689,59.35515982721026,,0.0,371.9,,213.02005602546734,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",0
MSR_fast_noRes,1,target,eval_fault,a0_s0.7_t50,100,601.3834872040223,61.6158712776473,,0.0,362.34,,204.42990760347303,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",50
MSR_fast_noRes,1,target,eval_fault,a0_s0.7_t150,100,603.6235589015945,59.67585794803874,,0.0,372.64,,211.08386046555452,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",150
MSR_fast_noRes,1,target,eval_fault,a0_s0.5_t0,100,631.1149106386679,69.26309652558093,,0.0,432.08,,243.70620239478217,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",0
MSR_fast_noRes,1,target,eval_fault,a0_s0.5_t50,100,605.15997062026,60.491193030920286,,0.0,365.95,,210.6752792778125,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",50
MSR_fast_noRes,1,target,eval_fault,a0_s0.5_t150,100,605.6838677951481,67.56136482517529,,0.0,373.91,,212.32590804556946,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",150
MSR_fast_noRes,1,target,eval_fault,a0_s0.3_t0,100,607.1129571637154,100.65107870529236,,0.0,390.4,,262.30823020412527,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",0
MSR_fast_noRes,1,target,eval_fault,a0_s0.3_t50,100,595.060284323397,100.68567885183535,,0.0,366.82,,235.97185027685205,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",50
MSR_fast_noRes,1,target,eval_fault,a0_s0.3_t150,100,603.1894250074553,59.526742135089265,,0.0,372.32,,213.83930880134847,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",150
MSR_fast_noRes,1,target,eval_fault,a1_s0.7_t0,100,612.041022709739,68.41606216897853,,0.0,376.17,,204.33598846641624,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(1,)",0
MSR_fast_noRes,1,target,eval_fault,a1_s0.7_t50,100,609.9382534223166,72.82916456314342,,0.0,374.61,,209.8932530191959,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(1,)",50
MSR_fast_noRes,1,target,eval_fault,a1_s0.7_t150,100,603.7478767574568,59.77400587140561,,0.0,372.56,,211.07613608520282,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(1,)",150
MSR_fast_noRes,1,target,eval_fault,a1_s0.5_t0,100,608.4426432149195,100.04392842416239,,0.0,400.94,,219.3147987373895,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(1,)",0
MSR_fast_noRes,1,target,eval_fault,a1_s0.5_t50,100,603.2487297260591,98.17328273636645,,0.0,379.51,,218.11803478221788,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(1,)",50
MSR_fast_noRes,1,target,eval_fault,a1_s0.5_t150,100,604.8895765170707,60.748324422549004,,0.0,372.88,,212.23558188909468,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(1,)",150
MSR_fast_noRes,1,target,eval_fault,a1_s0.3_t0,100,605.7171174545156,133.94439287276342,,0.0,433.27,,197.0651773584506,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(1,)",0
MSR_fast_noRes,1,target,eval_fault,a1_s0.3_t50,100,607.0183445655283,119.1000836765621,,0.0,385.7,,233.14605662577233,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(1,)",50
MSR_fast_noRes,1,target,eval_fault,a1_s0.3_t150,100,605.5542221721659,60.61702890774957,,0.0,373.95,,214.93229621165293,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(1,)",150
MSR_fast_noRes,1,target,eval_fault,a2_s0.7_t0,100,497.2871700172255,85.43169413058646,,0.0,277.69,,135.85602694848959,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(2,)",0
MSR_fast_noRes,1,target,eval_fault,a2_s0.7_t50,100,489.9449894503668,72.75162743625842,,0.0,248.17,,157.17119289090223,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(2,)",50
MSR_fast_noRes,1,target,eval_fault,a2_s0.7_t150,100,603.2755368405991,68.15469864397282,,0.0,371.69,,215.4084955675438,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(2,)",150
MSR_fast_noRes,1,target,eval_fault,a2_s0.5_t0,100,356.44460656068463,61.72511017186763,,0.0,170.71,,108.51777719970559,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",0
MSR_fast_noRes,1,target,eval_fault,a2_s0.5_t50,100,348.7859971931986,49.056840834829146,,0.0,157.07,,115.69731001163076,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",50
MSR_fast_noRes,1,target,eval_fault,a2_s0.5_t150,100,599.0079586209695,70.97488559503515,,0.0,365.85,,215.41825996239356,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",150
MSR_fast_noRes,1,target,eval_fault,a2_s0.3_t0,100,329.1888631680451,57.984995919304396,,0.0,157.14,,104.63987071285402,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",0
