exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,total_timesteps,actuator_dr_range,fault_strength,fault_indices,fault_start_step
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.5_t0,20,1614.3112029465287,10.015139437588594,800000,0.2,0.5,"(1,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.5_t50,20,1612.652383544777,9.265467342882584,800000,0.2,0.5,"(1,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.5_t150,20,1616.2987017439511,9.639628008411748,800000,0.2,0.5,"(1,)",150
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.3_t0,20,888.7653363335634,13.888153063115329,800000,0.2,0.3,"(1,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.3_t50,20,871.0320238276888,7.047425488226692,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.3_t150,20,1503.9495214723563,79.22427340801657,800000,0.2,0.3,"(1,)",150
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.7_t0,20,494.08741512511597,2.9610404746160546,800000,0.2,0.7,"(2,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.7_t50,20,505.1874897573822,3.2261014515287667,800000,0.2,0.7,"(2,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.7_t150,20,1172.2837703666885,25.62740348612596,800000,0.2,0.7,"(2,)",150
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.5_t0,20,331.86564811557605,2.9282819888960923,800000,0.2,0.5,"(2,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.5_t50,20,341.54454880059416,2.214573126253006,800000,0.2,0.5,"(2,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.5_t150,20,877.6404972954908,28.172467481265986,800000,0.2,0.5,"(2,)",150
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.3_t0,20,242.64811724277442,1.7133782137678415,800000,0.2,0.3,"(2,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.3_t50,20,236.51176418131212,2.087363471787077,800000,0.2,0.3,"(2,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a2_s0.3_t150,20,721.7989707268702,17.807240821352973,800000,0.2,0.3,"(2,)",150
resilient_actuatorDR_r0p30,0,target,eval,,20,1602.539887994642,36.22806986651276,800000,0.3,,,
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.7_t0,20,1604.0443850558331,15.653257717917054,800000,0.3,0.7,"(0,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.7_t50,20,1606.9055771934352,14.228013977596579,800000,0.3,0.7,"(0,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.7_t150,20,1607.7171060984317,15.174310319765025,800000,0.3,0.7,"(0,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.5_t0,20,1607.808670803211,23.68370181971085,800000,0.3,0.5,"(0,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.5_t50,20,1625.8306295045409,34.876235585673186,800000,0.3,0.5,"(0,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.5_t150,20,1614.6154044219772,19.977087764190532,800000,0.3,0.5,"(0,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.3_t0,20,1604.5373962562085,77.82305218237177,800000,0.3,0.3,"(0,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.3_t50,20,1577.0338438598837,89.80872932588565,800000,0.3,0.3,"(0,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a0_s0.3_t150,20,1629.4912726451269,35.83300528934818,800000,0.3,0.3,"(0,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.7_t0,20,1605.1173769057837,13.731879167181676,800000,0.3,0.7,"(1,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.7_t50,20,1600.3200552395963,8.054544543741953,800000,0.3,0.7,"(1,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.7_t150,20,1613.324271831942,14.973274893077374,800000,0.3,0.7,"(1,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.5_t0,20,1592.8989363849646,5.060446409437947,800000,0.3,0.5,"(1,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.5_t50,20,1598.3491665920862,8.872649864380534,800000,0.3,0.5,"(1,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.5_t150,20,1609.3311455065787,10.815635406361116,800000,0.3,0.5,"(1,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.3_t0,20,1572.8907318871213,9.242360316410581,800000,0.3,0.3,"(1,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.3_t50,20,1572.5142721790576,10.084389576844027,800000,0.3,0.3,"(1,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a1_s0.3_t150,20,1620.358659389442,12.882789919816586,800000,0.3,0.3,"(1,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a2_s0.7_t0,20,527.6856536601445,2.5319268212686232,800000,0.3,0.7,"(2,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a2_s0.7_t50,20,520.6036527383035,4.01373661387626,800000,0.3,0.7,"(2,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a2_s0.7_t150,20,814.8453781425353,3.338307667137945,800000,0.3,0.7,"(2,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a2_s0.5_t0,20,343.0859012427576,1.2036613802014196,800000,0.3,0.5,"(2,)",0
resilient_actuatorDR_r0p30,0,target,eval_fault,a2_s0.5_t50,20,342.81258800298616,1.3943513891474872,800000,0.3,0.5,"(2,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,a2_s0.5_t150,20,669.3658436089768,2.860543238599035,800000,0.3,0.5,"(2,)",150
resilient_actuatorDR_r0p30,0,target,eval_fault,a2_s0.3_t0,20,274.75632042512916,1.013464006336225,800000,0.3,0.3,"(2,)",0
