timesteps,is_success,time_to_goal,violations,fell
135132,0,-1,2,0
135210,0,-1,1,0
135594,0,-1,9,1
135618,0,-1,0,0
135702,0,-1,0,0
135708,0,-1,4,0
136272,0,-1,0,0
136344,0,-1,10,1
136440,0,-1,5,1
136482,0,-1,4,1
136506,0,-1,0,0
136662,0,-1,7,1
136896,0,-1,6,1
137010,0,-1,0,0
137154,0,-1,0,0
137166,0,-1,0,0
137220,0,-1,1,0
137226,0,-1,15,1
137274,0,-1,0,0
137388,1,280,0,0
137454,0,-1,1,0
137508,0,-1,4,1
137580,0,-1,0,0
137814,0,-1,0,0
137970,0,-1,0,0
138060,0,-1,2,0
138096,0,-1,2,0
138150,0,-1,0,0
138240,0,-1,21,1
138330,1,157,0,0
138612,0,-1,0,0
138648,0,-1,4,0
138678,0,-1,0,0
138798,0,-1,3,0
138846,0,-1,17,0
138900,0,-1,4,0
139032,0,-1,11,1
139152,1,252,1,0
139242,0,-1,0,0
139266,0,-1,0,0
139278,0,-1,2,0
139332,0,-1,1,0
139440,0,-1,0,0
139536,0,-1,0,0
139686,0,-1,0,0
140088,0,-1,0,0
140370,0,-1,0,0
140376,1,156,0,0
140976,0,-1,3,0
141006,0,-1,7,0
141342,0,-1,6,0
141480,0,-1,0,0
141846,0,-1,0,0
142350,0,-1,4,1
142422,1,341,0,0
142446,1,201,5,1
142524,0,-1,0,0
142668,0,-1,5,1
143016,0,-1,0,0
143016,0,-1,4,0
143394,0,-1,0,0
143442,0,-1,0,0
143664,0,-1,9,1
143712,0,-1,7,0
143748,0,-1,0,0
143958,0,-1,8,1
144078,0,-1,2,0
144084,1,252,0,0
144084,0,-1,0,0
144090,0,-1,0,0
144162,0,-1,0,0
144174,0,-1,21,1
144246,0,-1,0,0
144270,0,-1,1,0
144318,0,-1,0,0
144618,0,-1,2,0
144792,0,-1,0,0
144912,0,-1,0,0
145200,1,159,0,0
145320,0,-1,0,0
145722,1,67,0,0
146016,1,283,0,0
146142,0,-1,1,0
146184,1,232,0,0
146412,0,-1,1,0
146634,0,-1,1,0
146700,0,-1,0,0
146730,0,-1,0,0
146832,0,-1,10,1
147030,0,-1,0,0
147300,0,-1,2,0
147726,0,-1,1,0
147762,1,77,0,0
148374,1,194,6,0
148620,0,-1,0,0
148680,0,-1,0,0
148728,0,-1,8,0
149262,0,-1,0,0
149454,0,-1,4,0
149580,0,-1,0,0
149700,0,-1,0,0
149784,0,-1,0,0
149802,1,608,0,0
149892,0,-1,1,0
149964,0,-1,2,0
150114,0,-1,3,0
150222,0,-1,15,1
150390,0,-1,0,0
150606,0,-1,3,1
150840,0,-1,0,0
151026,0,-1,0,0
151086,0,-1,4,0
151128,1,123,0,0
151170,0,-1,0,0
151332,0,-1,0,0
151350,0,-1,5,1
151368,0,-1,1,0
151596,0,-1,2,0
151608,0,-1,0,0
151914,1,94,0,0
152010,0,-1,5,1
152190,0,-1,1,0
152400,0,-1,1,0
152472,0,-1,0,0
152598,0,-1,8,0
152706,0,-1,4,1
152778,0,-1,8,0
152970,0,-1,0,0
153042,0,-1,1,0
153066,0,-1,6,1
153102,0,-1,0,0
153126,1,156,0,0
153258,0,-1,0,0
153276,0,-1,3,1
153408,0,-1,8,1
153510,1,317,6,0
153528,0,-1,0,0
153546,0,-1,5,1
153582,0,-1,0,0
153624,0,-1,0,0
153768,0,-1,0,0
154386,0,-1,0,0
154398,0,-1,5,1
154548,1,130,0,0
154728,1,220,0,0
155070,0,-1,0,0
155310,0,-1,6,0
155388,0,-1,0,0
155478,1,155,0,0
155496,0,-1,10,1
155502,0,-1,2,0
155556,0,-1,0,0
155802,0,-1,1,0
155880,0,-1,0,0
155988,0,-1,2,0
156120,0,-1,4,0
156228,0,-1,1,0
156258,0,-1,0,0
156426,1,467,0,0
156486,0,-1,0,0
156570,0,-1,21,0
156912,1,57,0,0
156918,1,110,0,0
157656,0,-1,5,0
157824,1,151,0,0
157926,0,-1,0,0
158004,0,-1,0,0
158226,0,-1,0,0
158472,0,-1,0,0
158562,0,-1,0,0
158784,1,312,0,0
158862,1,966,10,0
159018,0,-1,0,0
159126,0,-1,0,0
159138,0,-1,0,0
159234,0,-1,1,0
159624,0,-1,1,0
159882,0,-1,9,0
160386,0,-1,0,0
160452,0,-1,0,0
160524,1,150,0,0
161184,0,-1,0,0
161202,1,390,0,0
161214,0,-1,0,0
161292,0,-1,0,0
161754,0,-1,0,0
161808,0,-1,0,0
161874,0,-1,0,0
162060,0,-1,2,0
162072,0,-1,0,0
162420,0,-1,0,0
162840,0,-1,3,1
162870,1,166,0,0
162888,0,-1,0,0
163068,0,-1,5,1
163278,0,-1,11,1
163452,0,-1,3,0
163464,1,96,0,0
163482,1,102,0,0
163602,0,-1,3,1
163794,0,-1,6,1
163938,0,-1,5,0
164076,0,-1,2,0
164148,0,-1,2,0
164214,0,-1,8,1
164250,0,-1,5,1
164856,0,-1,7,0
164982,0,-1,0,0
165042,0,-1,0,0
165168,0,-1,0,0
165612,1,233,0,0
165984,0,-1,0,0
166566,0,-1,1,0
166668,0,-1,0,0
166764,1,192,0,0
166902,1,341,0,0
166980,0,-1,6,0
167496,0,-1,5,0
167754,0,-1,6,1
167784,0,-1,5,1
167802,0,-1,3,1
168066,0,-1,10,0
168210,0,-1,1,0
168396,1,249,0,0
168600,0,-1,3,1
168762,0,-1,3,0
168918,0,-1,9,1
169014,0,-1,0,0
169752,0,-1,19,1
169854,0,-1,2,0
169992,0,-1,13,0
170040,0,-1,0,0
170244,0,-1,0,0
170292,0,-1,1,0
170616,0,-1,0,0
170676,1,114,0,0
170850,0,-1,4,1
170958,1,119,0,0
171090,0,-1,0,0
171186,1,89,0,0
171222,0,-1,0,0
171330,0,-1,3,0
171348,0,-1,0,0
171498,0,-1,8,0
171714,0,-1,1,0
171804,1,252,0,0
171894,0,-1,0,0
171954,0,-1,0,0
171996,0,-1,2,0
172122,0,-1,5,0
172278,0,-1,18,1
172668,0,-1,9,1
172668,0,-1,0,0
172794,0,-1,0,0
172800,0,-1,0,0
172968,0,-1,4,0
173100,1,178,0,0
173190,0,-1,7,1
173196,0,-1,0,0
173454,0,-1,12,1
173550,0,-1,2,0
173562,0,-1,2,0
173712,0,-1,11,1
173850,0,-1,1,0
173910,0,-1,0,0
174012,0,-1,3,0
174162,0,-1,0,0
174252,0,-1,2,0
174690,0,-1,12,1
174732,0,-1,0,0
